rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0076.jpg,30.4,0.5085,0.449,0.3333,0.92,8,3,False,False
76,frame_0387.jpg,154.8,0.508,0.6693,0.4444,0.2,9,4,False,False
77,frame_0390.jpg,156.0,0.5076,0.5831,0.6667,0.08,7,6,False,False
78,frame_0306.jpg,122.4,0.5062,0.6498,0.4444,0.24,7,4,False,False
79,frame_0383.jpg,153.2,0.5058,0.6303,0.5556,0.12,7,5,False,False
80,frame_0389.jpg,155.6,0.5006,0.6199,0.5556,0.12,9,5,False,False
81,frame_0121.jpg,48.4,0.5003,0.6433,0.2222,0.56,3,2,False,False
82,frame_0373.jpg,149.2,0.5001,0.6695,0.4444,0.16,8,4,False,False
83,frame_0303.jpg,121.2,0.4991,0.5876,0.4444,0.36,6,4,False,False
84,frame_0283.jpg,113.2,0.4987,0.5227,0.4444,0.52,5,4,False,False
85,frame_0322.jpg,128.8,0.4956,0.6606,0.4444,0.16,6,4,False,False
86,frame_0131.jpg,52.4,0.4939,0.4704,0.2222,0.96,4,2,False,False
87,frame_0304.jpg,121.6,0.4934,0.5254,0.5556,0.32,7,5,False,False
88,frame_0327.jpg,130.8,0.4931,0.6368,0.5556,0.04,8,5,False,False
89,frame_0021.jpg,8.4,0.4917,0.3834,0.3333,1.0,5,3,False,False
90,frame_0394.jpg,157.6,0.4917,0.6848,0.4444,0.08,7,4,False,False
91,frame_0006.jpg,2.4,0.4915,0.3831,0.3333,1.0,3,3,False,False
92,frame_0026.jpg,10.4,0.4897,0.3794,0.3333,1.0,4,3,False,False
93,frame_0299.jpg,119.6,0.4871,0.5662,0.3333,0.52,7,3,False,False
94,frame_0018.jpg,7.2,0.4828,0.4323,0.2222,1.0,4,2,False,False
95,frame_0289.jpg,115.6,0.4821,0.5268,0.2222,0.76,7,2,False,False
96,frame_0318.jpg,127.2,0.4806,0.5986,0.4444,0.24,9,4,False,False
97,frame_0210.jpg,84.0,0.4801,0.5548,0.2222,0.68,3,2,False,False
